Open,Close,High,Low,Volume,Date
0,190.5,0,0,,12/30/22
0,227.85,0,0,,12/29/22
0,227.35,0,0,,12/28/22
0,223.35,0,0,,12/27/22
0,228.7,0,0,,12/23/22
230,229.5,230,230,,12/22/22
228,228,228,228,,12/21/22
233.95,230.45,233.95,233.95,,12/20/22
0,230.5,0,0,,12/19/22
0,234.2,0,0,,12/16/22
0,240,0,0,,12/15/22
0,240.6,0,0,,12/14/22
0,247,0,0,,12/13/22
261,250.25,261,259,,12/12/22
258,260.9,261,252,,12/09/22
0,256.5,0,0,,12/08/22
0,263.3,0,0,,12/07/22
0,266.65,0,0,,12/06/22
0,262.25,0,0,,12/05/22
268,267,268,268,,12/02/22
269,266,281.5,265,,12/01/22
256,279,275,256,,11/30/22
256,260,260,256,,11/29/22
243,249,250,240.75,,11/28/22
0,241.45,0,0,,11/25/22
0,213.8,0,0,,11/24/22
0,213.9,0,0,,11/23/22
0,213,0,0,,11/22/22
0,216.2,0,0,,11/21/22
0,207.65,0,0,,11/18/22
0,202,0,0,,11/17/22
200,197,200,200,,11/16/22
200,203.5,203,200,,11/15/22
0,194,0,0,,11/14/22
0,190.55,0,0,,11/11/22
0,190.65,0,0,,11/10/22
0,188.8,0,0,,11/09/22
0,191.5,0,0,,11/08/22
210,200.9,210,205,,11/07/22
0,216,0,0,,11/04/22
220,221,220,220,,11/03/22
230,229.5,230,229,,11/02/22
222,225.1,229,222,,11/01/22
230,219.25,234,215,,10/31/22
0,239.95,0,0,,10/28/22
0,267.9,0,0,,10/27/22
0,269.1,0,0,,10/26/22
0,270.05,0,0,,10/25/22
0,269.55,0,0,,10/24/22
0,270,0,0,,10/21/22
270,270,270,270,,10/20/22
269,268,269,268,,10/19/22
267,267,267,263,,10/18/22
0,270.5,0,0,,10/17/22
277,274,277,277,,10/14/22
284,272.5,284,284,,10/13/22
274,280.1,282.5,274,,10/12/22
258.5,265.85,268,258.5,,10/11/22
263,262,263,263,,10/10/22
262,261.6,262,262,,10/07/22
288,267.85,288,272.5,,10/06/22
297.5,294.35,297.5,291,,10/05/22
308.35,301,308.35,302.15,,10/04/22
0,315.85,0,0,,10/03/22
328.75,315.5,328.75,328.75,,09/30/22
0,328.15,0,0,,09/29/22
0,328.15,0,0,,09/28/22
324.5,325.6,324.5,324.5,,09/27/22
327,325.75,327,324,,09/26/22
0,327,0,0,,09/23/22
322,323.65,322,322,,09/22/22
0,324.05,0,0,,09/21/22
0,323.65,0,0,,09/20/22
0,334.25,0,0,,09/19/22
334,331,334,331,,09/16/22
340,337.2,340,340,,09/15/22
340,336,340,340,,09/14/22
335,336,336,335,,09/13/22
329,329,330,329,,09/12/22
332,337,340,332,,09/09/22
355,341,355,341.5,,09/08/22
375,363.05,375,375,,09/07/22
390,380,390,380,,09/06/22
0,376,0,0,,09/02/22
370,370.25,370.75,367.5,,09/01/22
360,367,365,360,,08/31/22
362.5,365.75,367.55,355,,08/30/22
375,375.05,375,375,,08/29/22
369,383.1,369,369,,08/26/22
372,368,372,370,,08/25/22
0,371.25,0,0,,08/24/22
0,370,0,0,,08/23/22
382,377.75,382,382,,08/22/22
365,371.25,376,365,,08/19/22
361,365,365,361,,08/18/22
360,359.75,361,358,,08/17/22
360,358.05,360,358,,08/16/22
352,353.9,354,352,,08/15/22
348,350.5,350.25,348,,08/12/22
344,344,344,344,,08/11/22
0,342,0,0,,08/10/22
319,328.75,324,319,,08/09/22
325,320,325,325,,08/08/22
320,313.65,320,313,,08/05/22
345,329.5,345,326.9,,08/04/22
365,355,365,355,,08/03/22
367,366.05,367,364,,08/02/22
368.4,365.5,368.4,365,,08/01/22
0,372,0,0,,07/29/22
0,390.25,0,0,,07/28/22
0,387,0,0,,07/27/22
0,389.5,0,0,,07/26/22
386,387.35,386,386,,07/25/22
376,376.3,376,376,,07/22/22
377,376.05,377,377,,07/21/22
375,376.95,380,375,,07/20/22
370,375,375,368,,07/19/22
0,374,0,0,,07/18/22
0,385.05,0,0,,07/15/22
393.45,392.6,393.45,393.45,,07/14/22
0,395,0,0,,07/13/22
400,397.5,400,396,,07/12/22
0,390,0,0,,07/11/22
0,388.9,0,0,,07/08/22
384.6,385,387,384.6,,07/07/22
377,384.75,377,377,,07/06/22
385,380,385,380,,07/05/22
372,376,375,372,,07/04/22
374,369,374,367,,07/01/22
370,370,372,369,,06/30/22
370,364.75,372,364.5,,06/29/22
361.5,366.5,369,360,,06/28/22
375,372,375,370,,06/27/22
0,367.2,0,0,,06/24/22
350,350,350,350,,06/23/22
345,345.5,345,345,,06/22/22
0,345.5,0,0,,06/21/22
343,345.35,345,343,,06/20/22
333,335,335,333,,06/17/22
0,330.65,0,0,,06/16/22
326,332.45,330,326,,06/15/22
320,323,322,320,,06/14/22
0,317.15,0,0,,06/13/22
327.7,317.5,327.7,317.75,,06/10/22
330,323,335.5,323.5,,06/09/22
325,330,330,323,,06/08/22
330,326.2,330,330,,06/07/22
330,333.6,330,330,,06/06/22
0,327.15,0,0,,06/03/22
0,327.15,0,0,,06/02/22
321,326.15,326,321,,06/01/22
312,333,339,312,,05/31/22
302,306,304,302,,05/30/22
0,291,0,0,,05/27/22
0,330.6,0,0,,05/26/22
330,330.65,330,330,,05/25/22
331.5,331.05,331.5,331,,05/24/22
0,332.35,0,0,,05/23/22
331,336.35,336,331,,05/20/22
331,332,333,330,,05/19/22
331,331.8,332.5,331,,05/18/22
330,329.35,330,330,,05/17/22
323,324,323,323,,05/16/22
319,319,319,319,,05/13/22
329,325.5,335,329,,05/12/22
315,319,320,315,,05/11/22
308.5,313.15,314,308.5,,05/10/22
318,310.85,321,309,,05/09/22
317,319.5,322,317,,05/06/22
322,321,322,319,,05/05/22
300,311.5,310,300,,05/04/22
261,283.1,281,261,,05/03/22
0,259.8,0,0,,05/02/22
0,260,0,0,,04/29/22
0,322.85,0,0,,04/28/22
325.5,323.55,325.5,325.5,,04/27/22
325,324.75,325,324.75,,04/26/22
0,326,0,0,,04/25/22
327,326.65,327,327,,04/22/22
330,326.85,330,329,,04/21/22
324,327.35,330,324,,04/20/22
322,322.5,322.5,322,,04/19/22
0,322.55,0,0,,04/18/22
322,322.55,323,322,,04/14/22
320,321.35,322.25,320,,04/13/22
303,320,320,303,,04/12/22
300,300,303,300,,04/11/22
290,295,295,290,,04/08/22
290,280.7,290,290,,04/07/22
300,290.65,303,295,,04/06/22
274.8,290.1,295,274,,04/05/22
255,262,257,255,,04/04/22
272,265.4,272,272,,04/01/22
267,273,273,267,,03/31/22
270,271.65,280,270,,03/30/22
275,268.3,279,265,,03/29/22
270,270.4,275,270,,03/28/22
324,272.35,324,324,,03/25/22
326,325.05,326,324.75,,03/24/22
326,326.85,326.5,324.5,,03/23/22
320,323,324,318,,03/22/22
313,318.2,320,310,,03/21/22
0,324,0,0,,03/18/22
330,316,335,315,,03/17/22
325,312,325,310,,03/16/22
362,336.25,362,350,,03/15/22
362,357.35,362,362,,03/14/22
375,363.95,375,360,,03/11/22
390,367.5,390,365,,03/10/22
425,418,435,395,,03/09/22
425,439,425,425,,03/08/22
465,425.2,465,450,,03/07/22
400,432.5,440,400,,03/04/22
410,353.75,410,380,,03/03/22
350,436.5,435,350,,03/02/22
260,315,330,260,,03/01/22
235,254.25,261,230,,02/28/22
193,217,193,193,,02/25/22
190,193.1,191,190,,02/24/22
190,190.65,191,190,,02/23/22
187,189,189,186.9,,02/22/22
185,185.15,186,185,,02/21/22
0,184.1,0,0,,02/18/22
183.5,183.05,183.5,183.5,,02/17/22
185,183.65,185,183,,02/16/22
187,186.65,187,186,,02/15/22
194,190.35,194,194,,02/14/22
189,189.5,189,189,,02/11/22
189,188.15,189,189,,02/10/22
189,187.75,189,188,,02/09/22
186,186.1,187,185.5,,02/08/22
182,182.5,183.5,178,,02/07/22
179.5,183,183,179.5,,02/04/22
180,177.45,180,177.5,,02/03/22
178,177.3,178,175.5,,02/02/22
174,174.5,174,170,,02/01/22
178,178.25,178,173,,01/31/22
166,182.5,166.5,166,,01/28/22
0,165.95,0,0,,01/27/22
165.75,165.95,165.75,165.75,,01/26/22
165.5,164.6,165.5,164.5,,01/25/22
165,163.25,165.4,164.5,,01/24/22
160,162.05,165,160,,01/21/22
161,159.5,161,159,,01/20/22
161.25,161.75,161.25,161.25,,01/19/22
162.5,162.3,165,162,,01/18/22
155,156,158,155,,01/17/22
152,154,159,152,,01/14/22
143,148.9,148.9,143,,01/13/22
138,139,138,138,,01/12/22
140.05,136,140.05,136,,01/11/22
142.95,138.55,143,142.95,,01/10/22
147,140.2,147,139,,01/07/22
142.5,143.5,142.5,142.5,,01/06/22
134.65,137.3,136,134.5,,01/05/22
128,130.1,130,126,,01/04/22
120,120,120,120,,01/03/22